,lon,lat,datetime,chl_oc3,sst,M_WK,M_WK_G
0,-78.98439223,27.18793505,2014-11-15,nan,24.862499237060547,451.0,0.0
1,-78.95282498,27.17238578,2014-11-16,nan,24.01166534423828,451.0,0.0
2,-78.92459844,27.15675044,2014-11-17,nan,23.97166633605957,451.0,0.0
3,-78.91246217,27.14615786,2014-11-18,nan,23.994998931884766,451.0,0.0
4,-78.92916575,27.14573839,2014-11-19,nan,23.94499969482422,455.0,0.0
5,-78.98745872,27.16062035,2014-11-20,nan,nan,nan,nan
6,-79.09873853,27.19541617,2014-11-21,nan,nan,nan,nan
7,-79.2743831,27.25507958,2014-11-22,nan,nan,nan,nan
8,-79.39490929,27.30909778,2014-11-23,nan,nan,nan,nan
9,-79.48233566,27.35695499,2014-11-24,nan,nan,nan,nan
10,-79.49109774,27.38322669,2014-11-25,nan,nan,nan,nan
11,-79.37329968,27.37008661,2014-11-26,nan,nan,nan,nan
12,-79.27108191,27.35650795,2014-11-27,nan,nan,nan,nan
13,-79.25583472,27.35516011,2014-11-28,0.15145504474639893,26.64499855041504,307.0,0.0
14,-79.20201259,27.33428513,2014-11-29,0.2132876217365265,26.71500015258789,280.0,0.8757942318916321
15,-79.14626861,27.31705843,2014-11-30,0.25504031777381897,26.56999969482422,45.0,1.7394765615463257
16,-79.14639479,27.32614589,2014-12-01,0.2564241290092468,nan,nan,nan
17,-79.16867927,27.35942524,2014-12-02,0.17458778619766235,25.899999618530273,280.0,0.0
18,-79.12635561,27.39681302,2014-12-03,nan,25.85999870300293,280.0,nan
19,-79.0962681,27.44285587,2014-12-04,nan,nan,nan,nan
20,-79.0676465,27.48742442,2014-12-05,nan,nan,nan,nan
21,-79.09148322,27.53203726,2014-12-06,0.17130933701992035,25.719999313354492,280.0,0.0
22,-79.10839818,27.54111245,2014-12-07,0.2071915566921234,26.1924991607666,280.0,0.0
23,-79.12841103,27.51998387,2014-12-08,0.18291272222995758,27.03499984741211,280.0,0.0
24,-79.11024439,27.44240919,2014-12-09,nan,nan,nan,nan
25,-79.04644587,27.33961317,2014-12-10,nan,nan,nan,nan
26,-78.9880761,27.23199387,2014-12-11,nan,22.904998779296875,455.0,0.0
27,-79.00477093,27.1461908,2014-12-12,nan,nan,nan,nan
28,-79.14968962,27.10030801,2014-12-13,nan,nan,nan,nan
29,-79.30318806,27.06342431,2014-12-14,nan,26.32499885559082,273.0,0.3616228997707367
30,-79.39392334,27.02123244,2014-12-15,0.16468796133995056,26.07499885559082,280.0,0.0
31,-79.44723341,26.97685318,2014-12-16,0.1928006261587143,26.328332901000977,280.0,0.0
32,-79.46986943,26.93067581,2014-12-17,0.19952817261219025,26.146665573120117,273.0,0.08503885567188263
33,-79.46745464,26.88302467,2014-12-18,0.2240324169397354,26.204999923706055,273.0,0.0
34,-79.44561231,26.8342246,2014-12-19,0.24996070563793182,25.94999885559082,273.0,0.2680414915084839
35,-79.40996567,26.78460098,2014-12-20,0.3264016807079315,26.16499900817871,307.0,0.3816523551940918
36,-79.36613799,26.73447973,2014-12-21,0.18900808691978455,26.170000076293945,280.0,0.21027772128582
37,-79.32114686,26.68426847,2014-12-22,nan,nan,nan,nan
38,-78.74513869,26.44818354,2015-01-04,nan,nan,nan,nan
39,-78.88391492,26.54045323,2015-01-05,nan,nan,nan,nan
40,-79.0969167,26.71177262,2015-01-06,0.16250678896903992,26.219999313354492,144.0,0.0
41,-79.31543508,26.912771,2015-01-07,0.12189040333032608,25.899999618530273,141.0,0.0
42,-79.48440541,27.10674333,2015-01-08,0.14623932540416718,26.39499855041504,144.0,0.22971896827220917
43,-79.54876304,27.25723061,2015-01-09,nan,nan,nan,nan
44,-79.45344336,27.32793979,2015-01-10,nan,nan,nan,nan
45,-79.23382692,27.31249295,2015-01-11,nan,nan,nan,nan
46,-79.19820992,27.28132431,2015-01-12,nan,nan,nan,nan
47,-79.22013838,27.37519474,2015-01-13,nan,nan,nan,nan
48,-79.22892019,27.49815518,2015-01-14,nan,nan,nan,nan
49,-79.20329867,27.57878023,2015-01-15,nan,nan,nan,nan
50,-79.21535228,27.46383051,2015-01-16,nan,nan,nan,nan
51,-79.1908981,27.30211953,2015-01-17,nan,nan,nan,nan
52,-79.3292941,27.53270521,2015-01-18,nan,nan,nan,nan
53,-79.50140182,27.9992581,2015-01-19,nan,nan,nan,nan
54,-79.65564004,28.58281177,2015-01-20,0.188206747174263,25.82499885559082,273.0,0.21583469212055206
55,-79.74042753,29.16613563,2015-01-21,0.19563299417495728,25.139999389648438,273.0,0.0
56,-79.7041831,29.63446887,2015-01-22,0.19512072205543518,26.14499855041504,273.0,0.0
57,-79.4953255,29.87496201,2015-01-23,nan,nan,nan,nan
58,-79.06227354,29.7747475,2015-01-24,nan,nan,nan,nan
59,-78.51133059,29.40736283,2015-01-25,nan,nan,nan,nan
60,-77.98463063,29.3655583,2015-01-26,nan,nan,nan,nan
61,-77.43452078,29.013975,2015-01-27,nan,nan,nan,nan
62,-77.54099891,28.32005733,2015-01-28,nan,23.779998779296875,273.0,0.0
63,-78.15392924,28.04095196,2015-01-29,0.1612703502178192,23.969999313354492,273.0,nan
64,-78.20143842,28.13988424,2015-01-30,nan,nan,nan,nan
65,-78.72211363,27.76081795,2015-01-31,nan,23.834999084472656,82.0,0.23863524198532104
66,-79.41163435,27.40042763,2015-02-01,0.1789712905883789,26.66499900817871,307.0,0.10568848252296448
67,-79.58849123,27.58879938,2015-02-02,0.1632990539073944,26.65999984741211,307.0,0.24887828528881073
68,-79.51946512,27.90369585,2015-02-03,0.19926513731479645,26.71500015258789,273.0,0.0
69,-79.42829288,28.00121846,2015-02-04,0.19504188001155853,nan,nan,nan
70,-79.32525633,28.06844712,2015-02-05,0.20922425389289856,26.44499969482422,273.0,0.0
71,-79.26736664,28.11855325,2015-02-06,0.20316343009471893,25.7549991607666,273.0,0.0
72,-79.28201161,28.25327873,2015-02-07,0.22092317044734955,25.934999465942383,273.0,0.0
73,-79.28092774,28.59131425,2015-02-08,nan,nan,nan,nan
74,-79.4827753,29.38113577,2015-02-09,nan,nan,nan,nan
75,-79.73780807,30.22993786,2015-02-10,nan,nan,nan,nan
76,-79.46359066,30.59757258,2015-02-11,nan,nan,nan,nan
77,-79.34417565,30.52494594,2015-02-12,nan,nan,nan,nan
78,-79.3815007,30.42312453,2015-02-13,nan,nan,nan,nan
79,-79.51467022,30.2167782,2015-02-14,nan,nan,nan,nan
80,-79.14204198,30.34501555,2015-02-15,nan,nan,nan,nan
81,-78.12489989,30.67791486,2015-02-16,nan,nan,nan,nan
82,-77.82817632,30.41432958,2015-02-17,nan,nan,nan,nan
83,-77.41182466,30.31785419,2015-02-18,nan,nan,nan,nan
84,-77.54441516,30.24098301,2015-02-19,nan,nan,nan,nan
85,-77.59744867,29.91731843,2015-02-20,nan,nan,nan,nan
86,-77.45709759,29.72517665,2015-02-21,nan,nan,nan,nan
87,-76.86351891,29.95806553,2015-02-22,nan,nan,nan,nan
88,-77.31863129,29.22144423,2015-02-23,nan,nan,nan,nan
89,-78.19069477,28.17193688,2015-02-24,nan,nan,nan,nan
90,-78.6569989,27.66171836,2015-02-25,nan,nan,nan,nan
91,-78.83107333,27.49597827,2015-02-26,nan,nan,nan,nan
92,-78.98215129,27.26043048,2015-02-27,nan,22.35999870300293,455.0,0.0
93,-79.3091988,26.66331953,2015-02-28,0.19875894486904144,25.8799991607666,280.0,0.9045865535736084
94,-79.17217886,26.5749304,2015-03-01,0.24601563811302185,26.739999771118164,280.0,nan
95,-78.72352452,27.11956003,2015-03-02,nan,nan,nan,nan
96,-78.42147926,27.62368974,2015-03-03,nan,nan,nan,nan
97,-78.32016331,27.95935666,2015-03-04,nan,nan,nan,nan
98,-78.4736969,27.99969875,2015-03-05,nan,nan,nan,nan
99,-78.90031995,27.65927058,2015-03-06,0.15776948630809784,nan,nan,nan
